timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:49:41.707579+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:50:41.895489+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:50:41.895489+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:51:43.307323+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:51:43.307323+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:52:43.922193+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:52:43.922193+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:53:44.134319+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:53:44.134319+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:54:44.337487+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:54:44.337487+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:55:44.548523+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:55:44.548523+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
